year,geo_name,geo,num_ppl,wage_bin_name,wage_bin
2014,United States,01000US,19175353,< 10K,A
2015,United States,01000US,18582269,< 10K,A
2014,United States,01000US,21216573,$10-20K,B
2015,United States,01000US,20987738,$10-20K,B
2014,United States,01000US,20932980,$20-30K,C
2015,United States,01000US,21308700,$20-30K,C
2014,United States,01000US,18444902,$30-40K,D
2015,United States,01000US,18742734,$30-40K,D
2014,United States,01000US,14459569,$40-50K,E
2015,United States,01000US,14797713,$40-50K,E
2014,United States,01000US,11150671,$50-60K,F
2015,United States,01000US,11448206,$50-60K,F
2014,United States,01000US,8509041,$60-70K,G
2015,United States,01000US,8817232,$60-70K,G
2014,United States,01000US,6082701,$70-80K,H
2015,United States,01000US,6316268,$70-80K,H
2014,United States,01000US,4560929,$80-90K,I
2015,United States,01000US,4852634,$80-90K,I
2014,United States,01000US,3142806,$90-100K,J
2015,United States,01000US,3312220,$90-100K,J
2014,United States,01000US,3135463,$100K-110,K
2015,United States,01000US,3368094,$100K-110,K
2014,United States,01000US,1460431,$110-120,L
2015,United States,01000US,1626297,$110-120,L
2014,United States,01000US,1775893,$120-130,M
2015,United States,01000US,1900044,$120-130,M
2014,United States,01000US,956819,$130-140,N
2015,United States,01000US,1025432,$130-140,N
2014,United States,01000US,711579,$140-150,O
2015,United States,01000US,772097,$140-150,O
2014,United States,01000US,997029,$150-160,P
2015,United States,01000US,1079531,$150-160,P
2014,United States,01000US,458890,$160-170,Q
2015,United States,01000US,491260,$160-170,Q
2014,United States,01000US,374783,$170-180,R
2015,United States,01000US,412068,$170-180,R
2014,United States,01000US,340317,$180-190,S
2015,United States,01000US,389361,$180-190,S
2014,United States,01000US,179799,$190-200K,T
2015,United States,01000US,194729,$190-200K,T
2014,United States,01000US,2762472,$200K+,U
2015,United States,01000US,2981526,$200K+,U
2014,Massachusetts,04000US25,439091,< 10K,A
2015,Massachusetts,04000US25,437660,< 10K,A
2014,Massachusetts,04000US25,366293,$10-20K,B
2015,Massachusetts,04000US25,358956,$10-20K,B
2014,Massachusetts,04000US25,364943,$20-30K,C
2015,Massachusetts,04000US25,375966,$20-30K,C
2014,Massachusetts,04000US25,350554,$30-40K,D
2015,Massachusetts,04000US25,362191,$30-40K,D
2014,Massachusetts,04000US25,314674,$40-50K,E
2015,Massachusetts,04000US25,321363,$40-50K,E
2014,Massachusetts,04000US25,280732,$50-60K,F
2015,Massachusetts,04000US25,286158,$50-60K,F
2014,Massachusetts,04000US25,249721,$60-70K,G
2015,Massachusetts,04000US25,257814,$60-70K,G
2014,Massachusetts,04000US25,189167,$70-80K,H
2015,Massachusetts,04000US25,184637,$70-80K,H
2014,Massachusetts,04000US25,140993,$80-90K,I
2015,Massachusetts,04000US25,149046,$80-90K,I
2014,Massachusetts,04000US25,108295,$90-100K,J
2015,Massachusetts,04000US25,108124,$90-100K,J
2014,Massachusetts,04000US25,104883,$100K-110,K
2015,Massachusetts,04000US25,114957,$100K-110,K
2014,Massachusetts,04000US25,49522,$110-120,L
2015,Massachusetts,04000US25,54752,$110-120,L
2014,Massachusetts,04000US25,55403,$120-130,M
2015,Massachusetts,04000US25,65287,$120-130,M
2014,Massachusetts,04000US25,36765,$130-140,N
2015,Massachusetts,04000US25,36034,$130-140,N
2014,Massachusetts,04000US25,28451,$140-150,O
2015,Massachusetts,04000US25,26972,$140-150,O
2014,Massachusetts,04000US25,37467,$150-160,P
2015,Massachusetts,04000US25,35527,$150-160,P
2014,Massachusetts,04000US25,16508,$160-170,Q
2015,Massachusetts,04000US25,18085,$160-170,Q
2014,Massachusetts,04000US25,13788,$170-180,R
2015,Massachusetts,04000US25,14242,$170-180,R
2014,Massachusetts,04000US25,14051,$180-190,S
2015,Massachusetts,04000US25,15255,$180-190,S
2014,Massachusetts,04000US25,6996,$190-200K,T
2015,Massachusetts,04000US25,7297,$190-200K,T
2014,Massachusetts,04000US25,104258,$200K+,U
2015,Massachusetts,04000US25,111772,$200K+,U
