year,geo_name,geo,income_inequality
2016,Kalawao County,05000US15005,10.659
2015,Schleicher County,05000US48413,9.649
2017,Radford city,05000US51750,9.048
2015,Kalawao County,05000US15005,8.972
2017,"New York County, NY",05000US36061,8.835
2016,"New York County, NY",05000US36061,8.741
2015,"New York County, NY",05000US36061,8.629
2017,Clarke County,05000US01025,8.087
2016,Schleicher County,05000US48413,7.966
2017,Twiggs County,05000US13289,7.96
2017,Terrell County,05000US48443,7.856
2017,Watauga County,05000US37189,7.818
2015,Watauga County,05000US37189,7.805
2017,Oktibbeha County,05000US28105,7.77
2016,Watauga County,05000US37189,7.76
2017,Rolette County,05000US38079,7.709
2015,Lincoln Parish,05000US22061,7.695
2016,Whitman County,05000US53075,7.687
2016,Rolette County,05000US38079,7.677
2015,Emporia city,05000US51595,7.596
2016,Radford city,05000US51750,7.566
2015,Oktibbeha County,05000US28105,7.559
2017,"Suffolk County, MA",05000US25025,7.553
2016,"Suffolk County, MA",05000US25025,7.551
2015,"Monongalia County, WV",05000US54061,7.515
2016,Oktibbeha County,05000US28105,7.508
2015,Whitman County,05000US53075,7.498
2017,Carroll County,05000US28015,7.481
2017,Natchitoches Parish,05000US22069,7.481
2017,"Orleans Parish, LA",05000US22071,7.475
2015,"Clarke County, GA",05000US13059,7.475
2015,Jackson County,05000US17077,7.383
2017,"Clarke County, GA",05000US13059,7.362
2017,McKinley County,05000US35031,7.354
2015,Rolette County,05000US38079,7.346
2015,"Suffolk County, MA",05000US25025,7.339
2017,Monroe County,05000US01099,7.338
2016,Clinch County,05000US13065,7.333
2016,Lincoln Parish,05000US22061,7.316
2015,Willacy County,05000US48489,7.298
2017,Owsley County,05000US21189,7.288
2016,"Orleans Parish, LA",05000US22071,7.268
2017,Schleicher County,05000US48413,7.265
2016,Oldham County,05000US48359,7.262
2017,Emporia city,05000US51595,7.248
2017,Athens County,05000US39009,7.238
2015,"Brazos County, TX",05000US48041,7.226
2016,Monroe County,05000US01099,7.217
2016,Jackson County,05000US17077,7.215
2017,Zapata County,05000US48505,7.197
2017,Whitman County,05000US53075,7.195
2016,Twiggs County,05000US13289,7.188
2015,Ziebach County,05000US46137,7.186
2015,Clarke County,05000US01025,7.181
2016,"Clarke County, GA",05000US13059,7.179
2016,Clarke County,05000US01025,7.172
2017,Lincoln Parish,05000US22061,7.168
2016,Leslie County,05000US21131,7.155
2016,Charlottesville city,05000US51540,7.121
2017,Karnes County,05000US48255,7.106
2017,"San Francisco County, CA",05000US06075,7.103
2015,Sioux County,05000US38085,7.101
2016,McKinley County,05000US35031,7.089
2016,"Monongalia County, WV",05000US54061,7.023
2017,Jackson County,05000US17077,7.013
2015,Northampton County,05000US51131,6.995
2017,"District of Columbia, DC",05000US11001,6.991
2015,Charlottesville city,05000US51540,6.991
2017,Clinch County,05000US13065,6.987
2017,Wilkinson County,05000US28157,6.98
2016,Owsley County,05000US21189,6.979
2016,"District of Columbia, DC",05000US11001,6.962
2015,McKinley County,05000US35031,6.955
2015,"District of Columbia, DC",05000US11001,6.948
2016,Ziebach County,05000US46137,6.945
2015,Twiggs County,05000US13289,6.942
2016,Martin County,05000US21159,6.94
2017,Drew County,05000US05043,6.916
2015,Brooks County,05000US48047,6.915
2016,"San Francisco County, CA",05000US06075,6.903
2016,"Brazos County, TX",05000US48041,6.892
2016,Athens County,05000US39009,6.891
2017,Stonewall County,05000US48433,6.874
2017,De Soto Parish,05000US22031,6.87
2015,"Orleans Parish, LA",05000US22071,6.862
2015,Walthall County,05000US28147,6.862
2015,"San Francisco County, CA",05000US06075,6.835
2016,Willacy County,05000US48489,6.833
2017,Lafayette County,05000US28071,6.829
2016,Natchitoches Parish,05000US22069,6.828
2017,Dallas County,05000US01047,6.82
2017,Leflore County,05000US28083,6.806
2017,Willacy County,05000US48489,6.794
2017,"Monongalia County, WV",05000US54061,6.78
2015,Wilcox County,05000US01131,6.767
2016,Drew County,05000US05043,6.751
2017,Walthall County,05000US28147,6.729
2016,Baldwin County,05000US13009,6.726
2017,Marengo County,05000US01091,6.725
2015,Natchitoches Parish,05000US22069,6.718
2015,Bleckley County,05000US13023,6.707
2017,Baldwin County,05000US13009,6.689
2015,Radford city,05000US51750,6.689
2017,Leslie County,05000US21131,6.682
2016,Wilkinson County,05000US28157,6.663
2016,Brooks County,05000US48047,6.661
2017,Caldwell Parish,05000US22021,6.658
2016,Dallas County,05000US01047,6.653
2015,Allendale County,05000US45005,6.653
2016,Karnes County,05000US48255,6.652
2015,Powell County,05000US21197,6.649
2015,Wolfe County,05000US21237,6.647
2017,Winn Parish,05000US22127,6.632
2015,Athens County,05000US39009,6.626
2016,San Juan County,05000US49037,6.625
2016,Lafayette County,05000US28071,6.624
2017,Zavala County,05000US48507,6.617
2016,Marengo County,05000US01091,6.61
2016,Baker County,05000US13007,6.601
2017,Wolfe County,05000US21237,6.6
2017,Ben Hill County,05000US13017,6.592
2017,"Brazos County, TX",05000US48041,6.575
2015,Zavala County,05000US48507,6.573
2016,Clay County,05000US46027,6.571
2017,Sioux County,05000US38085,6.568
2016,Wilcox County,05000US01131,6.568
2017,Bulloch County,05000US13031,6.567
2017,Oldham County,05000US48359,6.562
2017,Charlottesville city,05000US51540,6.56
2015,Lafayette County,05000US28071,6.551
2017,"Essex County, NJ",05000US34013,6.542
2016,Leflore County,05000US28083,6.538
2015,Dallas County,05000US01047,6.537
2015,Carroll County,05000US28015,6.523
2016,Northampton County,05000US51131,6.523
2015,Bulloch County,05000US13031,6.522
2017,"Bronx County, NY",05000US36005,6.516
2015,Toombs County,05000US13279,6.509
2015,Baker County,05000US13007,6.506
2017,Choctaw County,05000US01023,6.505
2016,Albany County,05000US56001,6.503
2015,Karnes County,05000US48255,6.498
2017,Wilcox County,05000US01131,6.496
2017,Crisp County,05000US13081,6.494
2017,Columbia County,05000US05027,6.488
2017,Powell County,05000US21197,6.484
2016,Emporia city,05000US51595,6.483
2017,Montgomery County,05000US28097,6.482
2017,Apache County,05000US04001,6.479
2016,Benton County,05000US41003,6.474
2015,"Monroe County, IN",05000US18105,6.466
2016,Shannon County,05000US46113,6.462
2015,Bacon County,05000US13005,6.461
2016,Coahoma County,05000US28027,6.449
2016,McDonough County,05000US17109,6.448
2016,Ben Hill County,05000US13017,6.442
2017,"Kings County, NY",05000US36047,6.438
2016,Monroe County,05000US05095,6.433
2016,Sioux County,05000US38085,6.43
2016,Yazoo County,05000US28163,6.426
2016,"Bronx County, NY",05000US36005,6.412
2016,Powell County,05000US21197,6.409
2015,Leslie County,05000US21131,6.409
2017,Mingo County,05000US54059,6.404
2016,"Monroe County, IN",05000US18105,6.397
2016,Dougherty County,05000US13095,6.392
2017,Calloway County,05000US21035,6.391
2017,San Miguel County,05000US35047,6.39
2016,Bleckley County,05000US13023,6.388
2016,"Kings County, NY",05000US36047,6.387
2015,Culberson County,05000US48109,6.378
2016,"Essex County, NJ",05000US34013,6.376
2017,"Bibb County, GA",05000US13021,6.375
2017,Jefferson Davis Parish,05000US22053,6.372
2015,Tift County,05000US13277,6.372
2015,"Orange County, NC",05000US37135,6.372
2015,"Kings County, NY",05000US36047,6.372
2015,Baldwin County,05000US13009,6.365
2016,Walker County,05000US48471,6.364
2017,Catahoula Parish,05000US22025,6.363
2016,Terrell County,05000US48443,6.361
2015,"Bronx County, NY",05000US36005,6.361
2016,Tift County,05000US13277,6.359
2016,"Alachua County, FL",05000US12001,6.357
2017,Dougherty County,05000US13095,6.353
2015,Pike County,05000US01109,6.351
2015,Albany County,05000US56001,6.346
2016,Wolfe County,05000US21237,6.346
2015,Monroe County,05000US01099,6.34
2017,Burke County,05000US13033,6.34
2017,"Lee County, AL",05000US01081,6.331
2016,St. Landry Parish,05000US22097,6.325
2015,"Fulton County, GA",05000US13121,6.324
2016,"Fulton County, GA",05000US13121,6.323
2016,Letcher County,05000US21133,6.321
2016,Apache County,05000US04001,6.318
2015,"Alachua County, FL",05000US12001,6.295
2015,Yazoo County,05000US28163,6.289
2017,St. Landry Parish,05000US22097,6.284
2016,Franklin Parish,05000US22041,6.283
2017,"Monroe County, IN",05000US18105,6.28
2017,Coahoma County,05000US28027,6.279
2015,Coahoma County,05000US28027,6.27
2015,Benton County,05000US41003,6.265
2015,Martin County,05000US21159,6.263
2017,Greene County,05000US13133,6.262
2016,Evangeline Parish,05000US22039,6.26
2015,"Essex County, NJ",05000US34013,6.258
2016,Bamberg County,05000US45009,6.256
2017,"Alachua County, FL",05000US12001,6.254
2017,DeWitt County,05000US48123,6.252
2017,"Baltimore city, MD",05000US24510,6.252
2017,Baker County,05000US13007,6.251
2015,San Juan County,05000US49037,6.25
2017,Decatur County,05000US13087,6.248
2016,Jefferson Davis Parish,05000US22053,6.246
2015,Walker County,05000US48471,6.245
2015,Taylor County,05000US13269,6.244
2016,"Lee County, AL",05000US01081,6.242
2016,Montgomery County,05000US51121,6.241
2015,Marion County,05000US48315,6.241
2016,Mitchell County,05000US13205,6.24
2016,"St. Louis city, MO",05000US29510,6.235
2015,Bamberg County,05000US45009,6.229
2016,Elliott County,05000US21063,6.225
2017,Northampton County,05000US51131,6.222
2015,Jim Hogg County,05000US48247,6.215
2017,Laurens County,05000US13175,6.213
2016,"Baltimore city, MD",05000US24510,6.209
2016,Calhoun County,05000US13037,6.205
2017,"St. Louis city, MO",05000US29510,6.204
2015,Drew County,05000US05043,6.202
2017,Talbot County,05000US13263,6.198
2015,"St. Louis city, MO",05000US29510,6.196
2017,Adair County,05000US29001,6.194
2017,Yazoo County,05000US28163,6.193
2015,Hampton County,05000US45049,6.193
2017,Lanier County,05000US13173,6.192
2017,"Ouachita Parish, LA",05000US22073,6.192
2015,Bedford city,05000US51515,6.192
2016,De Soto Parish,05000US22031,6.191
2016,Bulloch County,05000US13031,6.19
2017,"Fulton County, GA",05000US13121,6.188
2016,Sumter County,05000US01119,6.186
2017,"Philadelphia County, PA",05000US42101,6.183
2017,Kleberg County,05000US48273,6.18
2017,Walker County,05000US48471,6.18
2015,Carter County,05000US30011,6.18
2015,Laurens County,05000US13175,6.179
2017,Reeves County,05000US48389,6.179
2016,Pike County,05000US01109,6.175
2016,Clay County,05000US21051,6.175
2016,Lewis County,05000US21135,6.173
2016,Caldwell Parish,05000US22021,6.173
2015,Clinch County,05000US13065,6.173
2015,"Philadelphia County, PA",05000US42101,6.173
2016,Dimmit County,05000US48127,6.172
2017,"Richmond city, VA",05000US51760,6.169
2015,Payne County,05000US40119,6.166
2015,Calhoun County,05000US13037,6.165
2016,"Philadelphia County, PA",05000US42101,6.164
2016,Eureka County,05000US32011,6.161
2015,Clay County,05000US46027,6.161
2016,Kleberg County,05000US48273,6.161
2017,Payne County,05000US40119,6.16
2015,"Baltimore city, MD",05000US24510,6.156
2017,Shannon County,05000US46113,6.153
2017,Washington Parish,05000US22117,6.153
2017,Pike County,05000US01109,6.151
2015,Apache County,05000US04001,6.151
2016,"Ouachita Parish, LA",05000US22073,6.15
2015,Mason County,05000US48319,6.145
2017,Rabun County,05000US13241,6.145
2016,Lincoln County,05000US05079,6.144
2016,Bienville Parish,05000US22013,6.142
2017,Rio Arriba County,05000US35039,6.142
2016,Red River Parish,05000US22081,6.139
2015,Leflore County,05000US28083,6.135
2016,Clay County,05000US28025,6.132
2016,Walthall County,05000US28147,6.131
2017,Mitchell County,05000US13205,6.129
2017,Tift County,05000US13277,6.128
2015,Wilkinson County,05000US28157,6.122
2015,Lee County,05000US21129,6.122
2016,Laurens County,05000US13175,6.121
2016,Stonewall County,05000US48433,6.119
2015,St. Landry Parish,05000US22097,6.118
2016,Greene County,05000US13133,6.115
2016,Columbia County,05000US05027,6.115
2015,Bienville Parish,05000US22013,6.115
2017,Bladen County,05000US37017,6.113
2017,Iberville Parish,05000US22047,6.106
2017,McDonough County,05000US17109,6.105
2016,Zavala County,05000US48507,6.104
2016,"Orange County, NC",05000US37135,6.104
2016,Lee County,05000US05077,6.098
2017,Erath County,05000US48143,6.097
2015,Claiborne County,05000US28021,6.093
2017,Matagorda County,05000US48321,6.093
2015,Hidalgo County,05000US35023,6.093
2016,Payne County,05000US40119,6.092
2017,Grant County,05000US38037,6.092
2016,"Bibb County, GA",05000US13021,6.091
2015,Washington Parish,05000US22117,6.091
2015,Thomas County,05000US20193,6.089
2017,San Juan County,05000US49037,6.087
2015,Russell County,05000US21207,6.085
2017,Clay County,05000US46027,6.084
2016,Washington Parish,05000US22117,6.083
2015,Turner County,05000US13287,6.08
2017,Warren County,05000US13301,6.079
2017,Pulaski County,05000US21199,6.073
2017,Barnwell County,05000US45011,6.07
2017,Alamosa County,05000US08003,6.069
2015,Lexington city,05000US51678,6.069
2017,Glacier County,05000US30035,6.067
2016,Mingo County,05000US54059,6.066
2016,Matagorda County,05000US48321,6.064
2016,Decatur County,05000US13087,6.057
2015,Dougherty County,05000US13095,6.056
2017,Albany County,05000US56001,6.055
2017,Martinsville city,05000US51690,6.052
2015,Liberty County,05000US12077,6.052
2016,Dodge County,05000US13091,6.048
2017,Martin County,05000US21159,6.046
2015,Columbia County,05000US05027,6.046
2017,Bullock County,05000US01011,6.043
2016,Choctaw County,05000US01023,6.042
2016,Winn Parish,05000US22127,6.041
2017,Benton County,05000US41003,6.041
2016,Marion County,05000US28091,6.037
2015,Caldwell Parish,05000US22021,6.037
2017,Pickens County,05000US01107,6.031
2017,Terrell County,05000US13273,6.03
2017,Letcher County,05000US21133,6.028
2016,Warren County,05000US13301,6.025
2016,Taylor County,05000US13269,6.023
2015,Thomas County,05000US13275,6.017
2017,Sumter County,05000US13261,6.012
2016,Candler County,05000US13043,6.011
2015,Letcher County,05000US21133,6.011
2017,Chicot County,05000US05017,6.01
2017,Todd County,05000US46121,6.009
2017,Montgomery County,05000US51121,6.008
2017,"Imperial County, CA",05000US06025,6.007
2015,Clay County,05000US28025,6.006
2015,Marengo County,05000US01091,6.003
2016,Desha County,05000US05041,5.997
2015,Montgomery County,05000US51121,5.993
2017,Early County,05000US13099,5.992
2017,Bradford County,05000US12007,5.992
2017,Johnson County,05000US13167,5.989
2017,Bienville Parish,05000US22013,5.987
2017,"Orange County, NC",05000US37135,5.987
2016,Erath County,05000US48143,5.987
2016,Chicot County,05000US05017,5.986
2017,Holmes County,05000US28051,5.985
2015,Matagorda County,05000US48321,5.985
2016,Carroll County,05000US28015,5.981
2017,"Hudson County, NJ",05000US34017,5.977
2016,San Miguel County,05000US35047,5.976
2016,"Richmond city, VA",05000US51760,5.974
2017,Choctaw County,05000US28019,5.972
2015,Franklin Parish,05000US22041,5.971
2016,Crisp County,05000US13081,5.969
2015,"Lee County, AL",05000US01081,5.968
2015,Fall River County,05000US46047,5.968
2015,Pecos County,05000US48371,5.968
2017,Jim Wells County,05000US48249,5.967
2015,Sumter County,05000US13261,5.964
2017,Marion County,05000US28091,5.962
2015,Fleming County,05000US21069,5.962
2015,Lewis County,05000US21135,5.962
2015,"Leon County, FL",05000US12073,5.957
2017,Union Parish,05000US22111,5.956
2017,Clay County,05000US28025,5.956
2017,Washington County,05000US13303,5.953
2015,Webster County,05000US28155,5.952
2016,Toombs County,05000US13279,5.95
2016,"Leon County, FL",05000US12073,5.948
2015,"Ouachita Parish, LA",05000US22073,5.948
2017,"Westchester County, NY",05000US36119,5.947
2016,Webster County,05000US28155,5.944
2017,Wayne County,05000US49055,5.94
2017,Nacogdoches County,05000US48347,5.94
2015,Decatur County,05000US47039,5.939
2017,"Champaign County, IL",05000US17019,5.938
2016,Burke County,05000US13033,5.937
2017,"Fairfield County, CT",05000US09001,5.93
2017,Bolivar County,05000US28011,5.922
2016,Bladen County,05000US37017,5.921
2015,Schley County,05000US13249,5.921
2016,McDowell County,05000US54047,5.92
2017,Dickens County,05000US48125,5.917
2016,Iberville Parish,05000US22047,5.917
2015,Shannon County,05000US46113,5.916
2017,Colfax County,05000US35007,5.912
2017,Monroe County,05000US05095,5.909
2017,Lincoln County,05000US05079,5.908
2015,Marion County,05000US28091,5.905
2015,Lee County,05000US05077,5.902
2017,Franklin Parish,05000US22041,5.901
2015,Adair County,05000US29001,5.9
2016,Perry County,05000US01105,5.896
2015,Burke County,05000US13033,5.896
2016,Pickens County,05000US01107,5.896
2016,De Baca County,05000US35011,5.896
2017,"Tompkins County, NY",05000US36109,5.895
2015,Isabella County,05000US26073,5.895
2017,"Wayne County, MI",05000US26163,5.894
2015,Mingo County,05000US54059,5.893
2015,McDonough County,05000US17109,5.891
2017,Hertford County,05000US37091,5.89
2016,Harrison County,05000US21097,5.888
2016,Ward County,05000US48475,5.888
2017,Fulton County,05000US21075,5.888
2015,"Richmond city, VA",05000US51760,5.886
2016,"Fairfield County, CT",05000US09001,5.885
2015,De Soto Parish,05000US22031,5.885
2015,Floyd County,05000US48153,5.884
2015,Crisp County,05000US13081,5.883
2017,Lee County,05000US05077,5.883
2016,Rabun County,05000US13241,5.882
2017,Dimmit County,05000US48127,5.882
2016,"Hudson County, NJ",05000US34017,5.88
2017,Madison County,05000US16065,5.879
2016,Martinsville city,05000US51690,5.878
2015,Pickens County,05000US01107,5.878
2015,Jackson County,05000US21109,5.878
2015,Iberville Parish,05000US22047,5.877
2015,Franklin County,05000US12037,5.876
2015,Dimmit County,05000US48127,5.871
2017,Menominee County,05000US55078,5.871
2015,Evangeline Parish,05000US22039,5.87
2016,Fulton County,05000US21075,5.869
2016,Cabell County,05000US54011,5.869
2015,"Bibb County, GA",05000US13021,5.868
2015,Bladen County,05000US37017,5.863
2015,Columbus County,05000US37047,5.862
2015,Clay County,05000US21051,5.862
2015,Cabell County,05000US54011,5.86
2017,Vermilion Parish,05000US22113,5.859
2016,Orangeburg County,05000US45075,5.854
2017,Jenkins County,05000US13165,5.853
2016,Marion County,05000US45067,5.853
2017,Claiborne Parish,05000US22027,5.853
2017,Lowndes County,05000US01085,5.851
2017,Cabell County,05000US54011,5.85
2015,Warren County,05000US13301,5.849
2015,Kemper County,05000US28069,5.842
2017,"Hamilton County, OH",05000US39061,5.841
2015,Telfair County,05000US13271,5.84
2016,West Feliciana Parish,05000US22125,5.84
2017,Sierra County,05000US06091,5.839
2015,Lowndes County,05000US28087,5.839
2017,Macon County,05000US01087,5.835
2017,"Yolo County, CA",05000US06113,5.834
2015,Forrest County,05000US28035,5.834
2015,Greene County,05000US13133,5.833
2017,Sumter County,05000US01119,5.831
2015,San Miguel County,05000US35047,5.83
2016,Del Norte County,05000US06015,5.829
2015,Copiah County,05000US28029,5.829
2017,West Feliciana Parish,05000US22125,5.828
