year,geo_name,geo,birthplace_name,birthplace,num_over5,num_over5_moe,num_over5_rca
2014,"Massachusetts","04000US25","US Virgin Islands","78",2025,1380.9,1.33515
2014,"Massachusetts","04000US25","Albania","100",8620,2157.73,4.81644
2014,"Massachusetts","04000US25","Austria","102",1459,766.836,1.21495
2014,"Massachusetts","04000US25","Belgium","103",2334,725.111,2.31979
2014,"Massachusetts","04000US25","Bulgaria","104",4920,2227.37,3.61251
2014,"Massachusetts","04000US25","Czechoslovakia","105",121,153.576,0.322199
2014,"Massachusetts","04000US25","Denmark","106",881,560.316,1.37622
2014,"Massachusetts","04000US25","Finland","108",1035,657.732,2.69312
2014,"Massachusetts","04000US25","France","109",9714,2018.69,2.11426
2014,"Massachusetts","04000US25","Germany","110",18135,2991.87,0.71449
2014,"Massachusetts","04000US25","Greece","116",9935,2319.77,3.13958
2014,"Massachusetts","04000US25","Hungary","117",1114,627.253,0.756403
2014,"Massachusetts","04000US25","Iceland","118",132,160.959,0.460869
2014,"Massachusetts","04000US25","Ireland","119",17499,2693.95,6.09232
2014,"Massachusetts","04000US25","Italy","120",22465,3890.32,2.44624
2014,"Massachusetts","04000US25","Netherlands","126",2730,1130.82,1.34721
2014,"Massachusetts","04000US25","Norway","127",566,386.756,0.962482
2014,"Massachusetts","04000US25","Poland","128",11228,2701.11,1.18026
2014,"Massachusetts","04000US25","Portugal","129",40569,4312.47,11.9529
2014,"Massachusetts","04000US25","Azores Islands","130",16691,3415.75,32.3268
2014,"Massachusetts","04000US25","Romania","132",2069,840.715,0.62353
2014,"Massachusetts","04000US25","Spain","134",4727,2565.68,1.64107
2014,"Massachusetts","04000US25","Sweden","136",2856,1266.94,2.37119
2014,"Massachusetts","04000US25","Switzerland","137",2194,1056.99,2.06472
2014,"Massachusetts","04000US25","United Kingdom - Not Specified","138",14460,2297.29,2.00031
2014,"Massachusetts","04000US25","England","139",10064,1886.35,1.1029
2014,"Massachusetts","04000US25","Scotland","140",2003,1089.37,1.28941
2014,"Massachusetts","04000US25","Yugoslavia","147",486,426.706,0.453421
2014,"Massachusetts","04000US25","Czech Republic","148",682,438.28,1.04288
2014,"Massachusetts","04000US25","Slovakia","149",595,871.494,1.1761
2014,"Massachusetts","04000US25","Bosnia and Herzegovina","150",809,502.21,0.327829
2014,"Massachusetts","04000US25","Croatia","151",270,319.291,0.270357
2014,"Massachusetts","04000US25","Macedonia","152",381,558.99,0.575471
2014,"Massachusetts","04000US25","Serbia","154",453,345.622,0.615912
2014,"Massachusetts","04000US25","Latvia","156",644,383.978,1.44905
2014,"Massachusetts","04000US25","Lithuania","157",1466,1026.58,1.7991
2014,"Massachusetts","04000US25","Armenia","158",1829,1263.85,0.955479
2014,"Massachusetts","04000US25","Azerbaijan","159",560,320.885,1.10139
2014,"Massachusetts","04000US25","Belarus","160",2862,1233.23,2.3358
2014,"Massachusetts","04000US25","Georgia","161",144,175.621,0.328554
2014,"Massachusetts","04000US25","Moldova","162",2608,1467.43,2.83971
2014,"Massachusetts","04000US25","Russia","163",20090,3842.32,2.27176
2014,"Massachusetts","04000US25","Ukraine","164",8974,2220.04,1.24821
2014,"Massachusetts","04000US25","USSR","165",1416,718.253,1.41151
2014,"Massachusetts","04000US25","Montenegro","168",231,363.455,0.639217
2014,"Massachusetts","04000US25","Other Europe - Not Specified","169",496,479.049,0.58558
2014,"Massachusetts","04000US25","Afghanistan","200",688,648.147,0.446796
2014,"Massachusetts","04000US25","Bangladesh","202",3548,1727.16,0.778253
2014,"Massachusetts","04000US25","Bhutan","203",1086,1218.73,0.903588
2014,"Massachusetts","04000US25","Myanmar","205",2936,1889.81,1.06156
2014,"Massachusetts","04000US25","Cambodia","206",16025,3428.27,4.56698
2014,"Massachusetts","04000US25","China","207",91030,6720.0,2.20093
2014,"Massachusetts","04000US25","Cyprus","208",56,91.2434,0.279469
2014,"Massachusetts","04000US25","Hong Kong","209",7356,1829.02,1.4395
2014,"Massachusetts","04000US25","India","210",58526,5405.87,1.26324
2014,"Massachusetts","04000US25","Indonesia","211",1959,993.63,0.921053
2014,"Massachusetts","04000US25","Iran","212",4853,1928.69,0.602872
2014,"Massachusetts","04000US25","Iraq","213",4567,2505.24,1.00542
2014,"Massachusetts","04000US25","Israel","214",3442,1464.29,1.06176
2014,"Massachusetts","04000US25","Japan","215",8586,1984.89,0.777565
2014,"Massachusetts","04000US25","Jordan","216",994,631.534,0.613209
2014,"Massachusetts","04000US25","Korea","217",15366,2842.46,0.63477
2014,"Massachusetts","04000US25","Kazakhstan","218",1732,1474.95,3.04433
2014,"Massachusetts","04000US25","Kuwait","222",161,188.911,0.244787
2014,"Massachusetts","04000US25","Laos","223",2702,1509.88,0.633069
2014,"Massachusetts","04000US25","Lebanon","224",9752,3086.77,3.46792
2014,"Massachusetts","04000US25","Malaysia","226",1955,911.17,1.30424
2014,"Massachusetts","04000US25","Nepal","229",4574,2044.15,1.93352
2014,"Massachusetts","04000US25","Pakistan","231",6985,2342.44,0.863028
2014,"Massachusetts","04000US25","Philippines","233",11435,2999.22,0.26102
