year,geo_name,geo,income
2013,"Census Tract 1401.05","14000US25025140105",62318.0
2014,"Census Tract 1401.05","14000US25025140105",65375.0
2015,"Census Tract 1401.05","14000US25025140105",72945.0
2013,"Census Tract 1402.01","14000US25025140201",76567.0
2014,"Census Tract 1402.01","14000US25025140201",76976.0
2015,"Census Tract 1402.01","14000US25025140201",79450.0
2013,"Census Tract 1304.06","14000US25025130406",31771.0
2014,"Census Tract 1304.06","14000US25025130406",40968.0
2015,"Census Tract 1304.06","14000US25025130406",41981.0
2013,"Census Tract 1304.04","14000US25025130404",71563.0
2014,"Census Tract 1304.04","14000US25025130404",72564.0
2015,"Census Tract 1304.04","14000US25025130404",72976.0
2013,"Census Tract 1401.07","14000US25025140107",58539.0
2014,"Census Tract 1401.07","14000US25025140107",63621.0
2015,"Census Tract 1401.07","14000US25025140107",62909.0
2013,"Census Tract 819","14000US25025081900",31411.0
2014,"Census Tract 819","14000US25025081900",30985.0
2015,"Census Tract 819","14000US25025081900",21594.0
2013,"Census Tract 901","14000US25025090100",31471.0
2014,"Census Tract 901","14000US25025090100",31778.0
2015,"Census Tract 901","14000US25025090100",30943.0
2013,"Census Tract 806.01","14000US25025080601",23412.0
2014,"Census Tract 806.01","14000US25025080601",16832.0
2015,"Census Tract 806.01","14000US25025080601",16892.0
2013,"Census Tract 1402.02","14000US25025140202",66042.0
2014,"Census Tract 1402.02","14000US25025140202",71570.0
2015,"Census Tract 1402.02","14000US25025140202",71919.0
2013,"Census Tract 1403","14000US25025140300",58870.0
2014,"Census Tract 1403","14000US25025140300",50703.0
2015,"Census Tract 1403","14000US25025140300",44771.0
2013,"Census Tract 1404","14000US25025140400",58508.0
2014,"Census Tract 1404","14000US25025140400",58690.0
2015,"Census Tract 1404","14000US25025140400",63500.0
2013,"Census Tract 1401.06","14000US25025140106",32500.0
2014,"Census Tract 1401.06","14000US25025140106",30625.0
2015,"Census Tract 1401.06","14000US25025140106",37813.0
2013,"Census Tract 5.03","14000US25025000503",55962.0
2014,"Census Tract 5.03","14000US25025000503",44167.0
2015,"Census Tract 5.03","14000US25025000503",56037.0
2013,"Census Tract 9807","14000US25025980700",None
2014,"Census Tract 9807","14000US25025980700",None
2015,"Census Tract 9807","14000US25025980700",None
2013,"Census Tract 101.04","14000US25025010104",34779.0
2014,"Census Tract 101.04","14000US25025010104",47204.0
2015,"Census Tract 101.04","14000US25025010104",55278.0
2013,"Census Tract 108.01","14000US25025010801",131136.0
2014,"Census Tract 108.01","14000US25025010801",125417.0
2015,"Census Tract 108.01","14000US25025010801",103203.0
2013,"Census Tract 104.03","14000US25025010403",17186.0
2014,"Census Tract 104.03","14000US25025010403",17009.0
2015,"Census Tract 104.03","14000US25025010403",25641.0
2013,"Census Tract 815","14000US25025081500",31042.0
2014,"Census Tract 815","14000US25025081500",32524.0
2015,"Census Tract 815","14000US25025081500",34107.0
2013,"Census Tract 817","14000US25025081700",21635.0
2014,"Census Tract 817","14000US25025081700",27787.0
2015,"Census Tract 817","14000US25025081700",30819.0
2013,"Census Tract 818","14000US25025081800",27162.0
2014,"Census Tract 818","14000US25025081800",25852.0
2015,"Census Tract 818","14000US25025081800",26012.0
2013,"Census Tract 902","14000US25025090200",22199.0
2014,"Census Tract 902","14000US25025090200",23067.0
2015,"Census Tract 902","14000US25025090200",24432.0
2013,"Census Tract 1009","14000US25025100900",50343.0
2014,"Census Tract 1009","14000US25025100900",53517.0
2015,"Census Tract 1009","14000US25025100900",60744.0
2013,"Census Tract 1010.01","14000US25025101001",53618.0
2014,"Census Tract 1010.01","14000US25025101001",46733.0
2015,"Census Tract 1010.01","14000US25025101001",42330.0
