year,geo_name,geo,income_below_poverty,pop_poverty_status,income_below_poverty,income_below_poverty_moe,pop_poverty_status,pop_poverty_status_moe
2014,"Ponce & Jayuya Municipios PUMA, PR","79500US7200402",89710.0,172728.0,89710.0,2168.0,172728.0,485.0
2013,"Ponce & Jayuya Municipios PUMA, PR","79500US7200402",89668.0,175856.0,89668.0,2037.0,175856.0,487.0
2013,"Carr 2-Carr 111 PUMA, PR","79500US7200101",89067.0,166729.0,89067.0,2497.0,166729.0,169.0
2015,"Ponce & Jayuya Municipios PUMA, PR","79500US7200402",88443.0,168802.0,88443.0,2125.0,168802.0,536.0
2014,"Carr 2-Carr 111 PUMA, PR","79500US7200101",87544.0,165001.0,87544.0,2513.0,165001.0,194.0
2015,"Carr 2-Carr 111 PUMA, PR","79500US7200101",86929.0,162727.0,86929.0,2154.0,162727.0,159.0
2013,"Carr 137-Carr 149 PUMA, PR","79500US7200501",79121.0,152325.0,79121.0,2609.0,152325.0,577.0
2013,"Carr 156-Carr 164 PUMA, PR","79500US7200601",78501.0,140464.0,78501.0,2330.0,140464.0,213.0
2015,"Carr 156-Carr 164 PUMA, PR","79500US7200601",78383.0,137520.0,78383.0,2121.0,137520.0,356.0
2014,"Carr 137-Carr 149 PUMA, PR","79500US7200501",76919.0,150415.0,76919.0,2574.0,150415.0,646.0
2014,"Carr 156-Carr 164 PUMA, PR","79500US7200601",76871.0,139197.0,76871.0,2454.0,139197.0,201.0
2014,"North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA, IL","79500US1703523",76042.0,192490.0,76042.0,3445.0,192490.0,3851.0
2015,"North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA, IL","79500US1703523",75959.0,193116.0,75959.0,2883.0,193116.0,4113.0
2015,"Carr 137-Carr 149 PUMA, PR","79500US7200501",75012.0,148111.0,75012.0,2422.0,148111.0,652.0
2014,"Philadelphia City (East) PUMA, PA","79500US4203205",74641.0,165288.0,74641.0,3081.0,165288.0,3561.0
2014,"San Juan Municipio (Noroeste) PUMA, PR","79500US7200804",74362.0,168091.0,74362.0,2411.0,168091.0,3102.0
2015,"San Juan Municipio (Noroeste) PUMA, PR","79500US7200804",74209.0,162557.0,74209.0,1996.0,162557.0,2468.0
2013,"San Juan Municipio (Noroeste) PUMA, PR","79500US7200804",74073.0,169195.0,74073.0,2465.0,169195.0,2759.0
2013,"North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA, IL","79500US1703523",73779.0,188783.0,73779.0,3260.0,188783.0,3677.0
2015,"Carr 30 PUMA, PR","79500US7201002",72964.0,164634.0,72964.0,2634.0,164634.0,202.0
2013,"Carr 30 PUMA, PR","79500US7201002",72694.0,165064.0,72694.0,2626.0,165064.0,286.0
2014,"Carr 30 PUMA, PR","79500US7201002",72687.0,165103.0,72687.0,2845.0,165103.0,201.0
2015,"Belmont, Crotona Park East & East Tremont PUMA, NY","79500US3603705",72564.0,165381.0,72564.0,3127.0,165381.0,3005.0
2013,"Carr 52-Carr 150 PUMA, PR","79500US7200403",72230.0,138917.0,72230.0,2295.0,138917.0,195.0
2013,"Philadelphia City (East) PUMA, PA","79500US4203205",71792.0,162493.0,71792.0,3376.0,162493.0,3340.0
2013,"Carr 2-Carr 129 PUMA, PR","79500US7200302",71530.0,138891.0,71530.0,2219.0,138891.0,208.0
2015,"Philadelphia City (East) PUMA, PA","79500US4203205",71502.0,165539.0,71502.0,3463.0,165539.0,3589.0
2013,"Yauco, Peñuelas, Guayanilla, Adjuntas & Guánica Municipios--Carr 2 (Sur) PUMA","79500US7200401",71193.0,123783.0,71193.0,2128.0,123783.0,241.0
2014,"Belmont, Crotona Park East & East Tremont PUMA, NY","79500US3603705",71026.0,161459.0,71026.0,2573.0,161459.0,2797.0
2014,"Carr 52-Carr 150 PUMA, PR","79500US7200403",70393.0,137839.0,70393.0,2094.0,137839.0,197.0
2014,"Yauco, Peñuelas, Guayanilla, Adjuntas & Guánica Municipios--Carr 2 (Sur) PUMA","79500US7200401",69986.0,121514.0,69986.0,1900.0,121514.0,266.0
2014,"Carr 2-Carr 100 PUMA, PR","79500US7200201",69982.0,134396.0,69982.0,2502.0,134396.0,191.0
2015,"Carr 52-Carr 150 PUMA, PR","79500US7200403",69514.0,136345.0,69514.0,2087.0,136345.0,187.0
2014,"Carr 2-Carr 129 PUMA, PR","79500US7200302",69098.0,137271.0,69098.0,1926.0,137271.0,195.0
2013,"Carr 2-Carr 100 PUMA, PR","79500US7200201",68972.0,135528.0,68972.0,2348.0,135528.0,147.0
2015,"Carr 2-Carr 100 PUMA, PR","79500US7200201",68613.0,132656.0,68613.0,2337.0,132656.0,548.0
