year,geo_name,geo,num_ppl,num_ppl_moe,wage_bin_name,wage_bin
2014,United States,01000US,19175353,92661.5,< 10K,A
2014,United States,01000US,21216573,105859,$10-20K,B
2014,United States,01000US,20932980,99355.5,$20-30K,C
2014,United States,01000US,18444902,89689,$30-40K,D
2014,United States,01000US,14459569,87913.7,$40-50K,E
2014,United States,01000US,11150671,75971.6,$50-60K,F
2014,United States,01000US,8509041,59418.1,$60-70K,G
2014,United States,01000US,6082701,51244.2,$70-80K,H
2014,United States,01000US,4560929,43493.2,$80-90K,I
2014,United States,01000US,3142806,38511.8,$90-100K,J
2014,United States,01000US,3135463,36454.6,$100K-110,K
2014,United States,01000US,1460431,23857.2,$110-120,L
2014,United States,01000US,1775893,26116.9,$120-130,M
2014,United States,01000US,956819,19713.8,$130-140,N
2014,United States,01000US,711579,17182.2,$140-150,O
2014,United States,01000US,997029,18475.1,$150-160,P
2014,United States,01000US,458890,12061.5,$160-170,Q
2014,United States,01000US,374783,12032.6,$170-180,R
2014,United States,01000US,340317,10081.4,$180-190,S
2014,United States,01000US,179799,8348.15,$190-200K,T
2014,United States,01000US,2762472,32156.1,$200K+,U
2014,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,6018,1737.89,< 10K,A
2014,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,6673,1906.08,$10-20K,B
2014,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,10003,2146.78,$20-30K,C
2014,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,9974,2814.05,$30-40K,D
2014,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,5852,1560.71,$40-50K,E
2014,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,4775,1336.53,$50-60K,F
2014,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,2439,801.124,$60-70K,G
2014,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,1303,735.159,$70-80K,H
2014,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,2430,1062.08,$80-90K,I
2014,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,305,270.22,$90-100K,J
2014,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,1015,515.07,$100K-110,K
2014,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,52,88.5241,$110-120,L
2014,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,433,311.743,$120-130,M
2014,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,217,231.129,$130-140,N
2014,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,204,201.015,$140-150,O
2014,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,227,265.835,$150-160,P
2014,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,409,352.134,$160-170,Q
2014,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,69,120.677,$170-180,R
2014,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,77,124.923,$190-200K,T
2015,United States,01000US,18582269,100733,< 10K,A
2015,United States,01000US,20987738,95546.1,$10-20K,B
2015,United States,01000US,21308700,105130,$20-30K,C
2015,United States,01000US,18742734,101529,$30-40K,D
2015,United States,01000US,14797713,62263,$40-50K,E
2015,United States,01000US,11448206,72394.8,$50-60K,F
2015,United States,01000US,8817232,58514.7,$60-70K,G
2015,United States,01000US,6316268,55072.8,$70-80K,H
2015,United States,01000US,4852634,42956.9,$80-90K,I
2015,United States,01000US,3312220,38969.3,$90-100K,J
2015,United States,01000US,3368094,37840.3,$100K-110,K
2015,United States,01000US,1626297,22628.6,$110-120,L
2015,United States,01000US,1900044,27762.7,$120-130,M
2015,United States,01000US,1025432,18249.4,$130-140,N
2015,United States,01000US,772097,15983.9,$140-150,O
2015,United States,01000US,1079531,22648,$150-160,P
2015,United States,01000US,491260,13503.1,$160-170,Q
2015,United States,01000US,412068,10519.2,$170-180,R
2015,United States,01000US,389361,11279.1,$180-190,S
2015,United States,01000US,194729,8099.35,$190-200K,T
2015,United States,01000US,2981526,32118,$200K+,U
2015,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,6764,1750.12,< 10K,A
2015,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,5636,1523.43,$10-20K,B
2015,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,10564,2193.93,$20-30K,C
2015,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,7358,2074.69,$30-40K,D
2015,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,7587,1868.32,$40-50K,E
2015,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,3756,1096.51,$50-60K,F
2015,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,3657,1230.34,$60-70K,G
2015,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,2398,1007.75,$70-80K,H
2015,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,2058,1207.84,$80-90K,I
2015,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,934,555.937,$90-100K,J
2015,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,917,473.306,$100K-110,K
2015,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,517,373.238,$110-120,L
2015,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,189,210.156,$120-130,M
2015,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,117,136.091,$130-140,N
2015,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,442,454.856,$140-150,O
2015,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,81,141.909,$160-170,Q
2015,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,121,142.897,$170-180,R
2015,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,776,824.1,$180-190,S
2015,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",79500US2503306,313,271.745,$200K+,U
