GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US25025000100,25025000100,"Census Tract 1, Suffolk County, Massachusetts",4185,471,2454,427,252,163,0,12,869,329,0,12,559,473,51,56,15,26,36,50
1400000US25025000201,25025000201,"Census Tract 2.01, Suffolk County, Massachusetts",3553,325,2947,337,170,130,0,12,286,141,0,12,55,60,95,75,38,45,57,52
1400000US25025000202,25025000202,"Census Tract 2.02, Suffolk County, Massachusetts",3697,413,2578,391,320,186,0,12,460,130,0,12,298,322,41,49,16,35,25,33
1400000US25025000301,25025000301,"Census Tract 3.01, Suffolk County, Massachusetts",2590,311,2065,305,101,74,0,12,307,145,0,12,108,99,9,15,0,12,9,15
1400000US25025000302,25025000302,"Census Tract 3.02, Suffolk County, Massachusetts",3110,347,2223,384,142,102,0,12,563,193,44,51,96,84,42,35,0,12,42,35
1400000US25025000401,25025000401,"Census Tract 4.01, Suffolk County, Massachusetts",5127,458,3545,386,209,202,0,17,1173,346,0,17,23,29,177,108,17,27,160,98
1400000US25025000402,25025000402,"Census Tract 4.02, Suffolk County, Massachusetts",3277,258,2397,258,77,65,0,12,642,173,0,12,8,14,153,111,30,40,123,89
1400000US25025000502,25025000502,"Census Tract 5.02, Suffolk County, Massachusetts",5904,379,4974,362,102,59,10,16,608,159,0,17,56,37,154,79,48,39,106,66
1400000US25025000503,25025000503,"Census Tract 5.03, Suffolk County, Massachusetts",2076,182,1629,201,32,33,15,22,184,96,0,12,28,35,188,119,9,14,179,115
1400000US25025000504,25025000504,"Census Tract 5.04, Suffolk County, Massachusetts",4516,394,3617,396,190,172,65,68,467,211,0,12,46,53,131,79,15,26,116,76
1400000US25025000601,25025000601,"Census Tract 6.01, Suffolk County, Massachusetts",3522,331,2469,362,95,56,17,30,723,244,0,12,143,119,75,49,15,18,60,51
1400000US25025000602,25025000602,"Census Tract 6.02, Suffolk County, Massachusetts",3575,308,2103,291,499,196,11,18,538,143,0,12,339,253,85,76,0,12,85,76
1400000US25025000701,25025000701,"Census Tract 7.01, Suffolk County, Massachusetts",3923,487,2586,476,243,178,53,51,870,218,24,39,28,30,119,73,0,12,119,73
1400000US25025000703,25025000703,"Census Tract 7.03, Suffolk County, Massachusetts",1958,182,1211,200,173,136,0,12,508,171,0,12,38,38,28,20,9,14,19,18
1400000US25025000704,25025000704,"Census Tract 7.04, Suffolk County, Massachusetts",4520,408,2447,381,244,181,5,10,1475,444,0,12,212,204,137,79,4,11,133,74
1400000US25025000802,25025000802,"Census Tract 8.02, Suffolk County, Massachusetts",6570,520,4193,496,416,281,15,30,986,268,0,17,530,318,430,301,180,243,250,155
1400000US25025000803,25025000803,"Census Tract 8.03, Suffolk County, Massachusetts",6351,641,4248,537,460,194,7,14,1248,261,0,17,110,72,278,124,97,88,181,109
1400000US25025010103,25025010103,"Census Tract 101.03, Suffolk County, Massachusetts",3695,450,2166,323,185,93,7,12,959,224,0,12,132,82,246,91,44,43,202,78
1400000US25025010104,25025010104,"Census Tract 101.04, Suffolk County, Massachusetts",4837,465,3497,353,122,79,0,12,788,190,0,12,151,70,279,133,0,12,279,133
1400000US25025010203,25025010203,"Census Tract 102.03, Suffolk County, Massachusetts",5058,481,3790,654,177,110,0,17,816,284,0,17,204,149,71,50,0,17,71,50
1400000US25025010204,25025010204,"Census Tract 102.04, Suffolk County, Massachusetts",3277,317,2105,333,45,29,16,23,942,191,7,16,71,52,91,50,29,31,62,45
1400000US25025010300,25025010300,"Census Tract 103, Suffolk County, Massachusetts",5360,353,3990,364,350,109,16,11,655,123,4,9,220,74,125,62,55,36,70,50
1400000US25025010403,25025010403,"Census Tract 104.03, Suffolk County, Massachusetts",2907,332,1859,367,214,137,23,32,496,203,0,12,154,132,161,149,0,12,161,149
1400000US25025010404,25025010404,"Census Tract 104.04, Suffolk County, Massachusetts",5076,432,3307,383,367,201,14,20,1109,228,13,23,143,93,123,74,8,12,115,73
1400000US25025010405,25025010405,"Census Tract 104.05, Suffolk County, Massachusetts",6015,408,4208,345,592,153,0,17,804,153,14,21,138,76,259,83,84,48,175,70
1400000US25025010408,25025010408,"Census Tract 104.08, Suffolk County, Massachusetts",1410,120,969,125,75,64,0,12,330,112,0,12,13,14,23,18,6,9,17,15
1400000US25025010500,25025010500,"Census Tract 105, Suffolk County, Massachusetts",3311,307,2247,325,339,157,0,12,456,160,0,12,188,121,81,59,17,26,64,52
1400000US25025010600,25025010600,"Census Tract 106, Suffolk County, Massachusetts",3146,291,2387,322,302,159,19,29,438,164,0,12,0,12,0,12,0,12,0,12
1400000US25025010701,25025010701,"Census Tract 107.01, Suffolk County, Massachusetts",2793,254,2391,276,51,29,5,9,243,101,0,12,39,61,64,40,0,12,64,40
1400000US25025010702,25025010702,"Census Tract 107.02, Suffolk County, Massachusetts",2486,232,2302,243,59,39,5,8,90,46,0,12,4,8,26,34,0,12,26,34
1400000US25025010801,25025010801,"Census Tract 108.01, Suffolk County, Massachusetts",3253,320,2984,301,5,9,0,12,198,78,0,12,30,33,36,25,10,15,26,24
1400000US25025010802,25025010802,"Census Tract 108.02, Suffolk County, Massachusetts",3162,239,2815,251,40,32,0,12,262,91,0,12,16,21,29,22,0,12,29,22
1400000US25025020101,25025020101,"Census Tract 201.01, Suffolk County, Massachusetts",4418,399,4144,418,33,45,0,12,168,141,0,12,0,12,73,83,0,12,73,83
1400000US25025020200,25025020200,"Census Tract 202, Suffolk County, Massachusetts",3782,248,3155,319,150,144,0,12,370,170,0,12,43,45,64,45,0,12,64,45
1400000US25025020301,25025020301,"Census Tract 203.01, Suffolk County, Massachusetts",2360,243,1696,249,52,39,0,12,515,167,0,12,9,14,88,56,7,11,81,56
1400000US25025020302,25025020302,"Census Tract 203.02, Suffolk County, Massachusetts",1011,125,986,113,0,12,0,12,3,5,0,12,0,12,22,39,0,12,22,39
1400000US25025020303,25025020303,"Census Tract 203.03, Suffolk County, Massachusetts",3702,337,2479,407,320,123,0,12,496,176,0,12,287,227,120,74,0,12,120,74
1400000US25025030100,25025030100,"Census Tract 301, Suffolk County, Massachusetts",2186,165,2106,170,0,12,0,12,71,53,0,12,0,12,9,13,0,12,9,13
1400000US25025030200,25025030200,"Census Tract 302, Suffolk County, Massachusetts",1686,203,1617,205,3,21,0,12,35,26,0,12,4,6,27,22,0,12,27,22
1400000US25025030300,25025030300,"Census Tract 303, Suffolk County, Massachusetts",5562,555,4511,492,429,202,26,34,443,282,0,17,110,105,43,35,0,17,43,35
1400000US25025030400,25025030400,"Census Tract 304, Suffolk County, Massachusetts",2846,254,2655,257,24,26,0,12,87,53,0,12,37,35,43,42,0,12,43,42
1400000US25025030500,25025030500,"Census Tract 305, Suffolk County, Massachusetts",2665,211,2429,223,1,2,0,12,84,54,0,12,46,52,105,69,34,43,71,56
1400000US25025040100,25025040100,"Census Tract 401, Suffolk County, Massachusetts",2502,279,2419,280,0,12,0,12,83,117,0,12,0,12,0,12,0,12,0,12
1400000US25025040200,25025040200,"Census Tract 402, Suffolk County, Massachusetts",1920,251,898,174,444,214,0,12,118,80,0,12,328,210,132,107,18,22,114,107
1400000US25025040300,25025040300,"Census Tract 403, Suffolk County, Massachusetts",4176,349,3281,344,438,332,0,12,291,226,0,12,72,108,94,77,19,22,75,71
1400000US25025040401,25025040401,"Census Tract 404.01, Suffolk County, Massachusetts",2610,263,2162,327,65,96,0,12,244,164,0,12,114,134,25,33,0,12,25,33
1400000US25025040600,25025040600,"Census Tract 406, Suffolk County, Massachusetts",2973,259,2654,257,131,101,0,12,112,68,0,12,17,25,59,41,0,12,59,41
